episode,map,scen,agents,reward,completed,completion_rate,collisions,recovery_invocations,recovery_forced,recovery_resolved,recovery_wasted,recovery_preemptive,recovery_preemptive_success,risk_steps,risk_steps_acted,warning_steps,intervention_rate,errors_injected,handovers_completed,retired_recalled,action_override_rate,gradient_agreement,mean_hops_remaining,loss_goal,loss_safety,loss_integrity,loss_rescue,loss_time
11,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed3.csv,25,3999.6999441087246,25,1.0,0,0,0,0,2,0,0,0,0,0,0.0,0,0,0,0.004302925989672977,0.9165232358003442,0.0,0.6038722477175973,0.024122023559800802,0.0960116732157459,0.004239878418290145,0.052338762340628474
12,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,25,4070.399951696396,24,0.96,0,0,0,0,5,0,0,0,0,0,0.0,1,0,0,0.0,0.9353821907013397,0.0,0.606230130938233,0.022789711493461536,0.1348859020127136,0.005311140399970502,0.047455495750134594
13,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed4.csv,25,4998.909982144833,24,0.96,0,1,0,0,11,1,1,1,1,1,1.0,1,0,0,0.003036876355748373,0.9362255965292842,0.0,0.5975608044075515,0.023211080300001723,0.14063387812823994,0.0036312662198677674,0.04336869705259015
14,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed8.csv,55,5167.937406271696,51,0.9272727272727272,6,6,6,6,18,6,5,6,6,6,1.0,3,1,3,0.16637230660543978,0.7202401978099612,5.387205004692078,0.620266993649495,0.029302289447906124,0.14106008797549666,0.0048566851277708056,0.04161900148446409
15,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,55,8328.508311867714,55,1.0,0,2,0,0,6,2,1,2,2,2,1.0,0,0,0,0.002580169553999263,0.8746774788057501,0.0,0.6068829417680249,0.027545191503039943,0.17385670664071134,0.002264304354865186,0.04819443641551488
16,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed4.csv,25,5153.299973845482,25,1.0,0,0,0,0,6,0,0,0,0,0,0.0,0,0,0,0.0,0.92498782269849,0.0,0.6074104522694053,0.02848174125851116,0.16173683114435977,0.0029524237026130403,0.05039873706833648
17,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed0.csv,25,3038.408143758774,25,1.0,0,1,0,0,2,1,1,1,1,1,1.0,0,0,0,0.0,0.8607764390896921,0.0,0.6051314540629117,0.023606661645660422,0.19437484358841517,0.003347593265100343,0.04872419496664321
18,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,25,3882.8259884119034,25,1.0,1,1,1,1,6,1,1,1,1,1,1.0,0,0,0,0.0,0.9430711610486892,0.0,0.6306599378585815,0.02295988174951105,0.1530314887154706,0.005233591588539408,0.03447522823050429
19,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed1.csv,25,3646.5998920202255,25,1.0,0,0,0,0,3,0,0,0,0,0,0.0,0,0,0,0.0018501387604070306,0.8547641073080481,0.0,0.6187940773963928,0.034816807434428484,0.18138478824496268,0.003990195274742291,0.046971251106821
20,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed3.csv,25,4017.307382643223,24,0.96,2,0,2,2,30,0,0,0,0,0,0.0,0,0,0,0.2082529888160432,0.8989587350559198,26.5,0.619047278433274,0.030395455466387854,0.1671963138362536,0.00278898631135153,0.04417737245019406
21,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed7.csv,55,8972.899825930595,55,1.0,0,0,0,0,8,0,0,0,0,0,0.0,0,0,0,0.0006361323155216285,0.8947201017811705,0.0,0.627904083331426,0.03209348670352483,0.18773243355875213,0.0038981095005074925,0.040549264194851276
22,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed9.csv,55,7937.430347561836,55,1.0,0,2,0,0,7,2,2,2,2,2,1.0,0,0,0,0.0025010421008753647,0.8416006669445603,0.0,0.6499893367290497,0.024778910915426656,0.21582013017991009,0.0027464442779185395,0.041886480137084924
23,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed3.csv,55,9201.8798109591,55,1.0,0,2,0,0,11,2,2,2,2,2,1.0,0,0,0,0.00575,0.81675,0.0,0.6507585643018995,0.024455712296309814,0.21232403463550975,0.0027131948071759584,0.03265705518823649
24,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed1.csv,55,7741.103814125061,55,1.0,0,3,0,0,7,3,3,3,3,3,1.0,0,0,0,0.00854368932038835,0.7572815533980582,0.0,0.6659347052757557,0.03289489911604995,0.22602130446869592,0.002756358683280688,0.032124080221491075
25,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed5.csv,25,4838.956688046455,25,1.0,0,1,0,0,14,1,1,1,1,1,1.0,0,0,0,0.003485838779956427,0.8723311546840958,0.0,0.6605745145568142,0.02741796893957301,0.20625998725953662,0.0022601400065808282,0.028563072072431146
26,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed2.csv,25,3379.8324995934963,25,1.0,0,1,0,0,14,1,1,1,1,1,1.0,0,0,0,0.00315955766192733,0.8562401263823065,0.0,0.6646065054431795,0.016685124849327767,0.2495512722858361,0.0015398728166820504,0.03439453310917117
27,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed0.csv,25,1449.3886595666409,23,0.92,5,28,3,5,73,26,8,28,28,26,1.0,3,2,3,0.2274339771383524,0.7016160819865983,3.0949997901916504,0.6799200625755848,0.031182851143724596,0.24182431909900445,0.00547977559612969,0.03311621723808527
28,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed6.csv,25,3213.3337219655514,25,1.0,2,1,2,2,7,1,1,1,1,1,1.0,0,0,0,0.0074794315632011965,0.8242333582647718,0.0,0.689686490893364,0.03136059084383305,0.1876197613030672,0.00653977550091895,0.04707899497472681
29,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed0.csv,25,2866.1999414414167,25,1.0,0,0,0,0,30,0,0,0,0,0,0.0,1,1,0,0.0,0.7708978328173375,0.0,0.6790337124291588,0.03023172906397817,0.2924210836097379,0.007461497507155373,0.036580451177809774
30,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed1.csv,25,3117.099895566702,25,1.0,0,0,0,0,11,0,0,0,0,0,0.0,0,0,0,0.0,0.8178170144462279,0.0,0.6771647869185968,0.04454861438319891,0.2642564510460943,0.005525033067711279,0.034873458884910426
31,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed0.csv,25,2753.299941778183,25,1.0,0,0,0,0,11,0,0,0,0,0,0.0,0,0,0,0.004801920768307323,0.7815126050420168,0.0,0.7074199139255367,0.03137160761900604,0.27280778366408936,0.010821438542298481,0.03127652367621609
32,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed1.csv,55,6324.426126748323,55,1.0,0,2,0,0,23,2,2,2,2,2,1.0,0,0,0,0.004275165176836378,0.7423241352506802,0.0,0.715476975067338,0.03646768806975703,0.25009766095943414,0.009705988091809559,0.03522918979314142
33,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed5.csv,55,7157.667829841375,53,0.9636363636363636,4,18,3,4,34,17,9,18,18,17,1.0,3,1,1,0.08958382318363509,0.7622854455678345,0.0,0.7272638091269661,0.03927118155475268,0.3602531502132907,0.008236470989943293,0.03057904901455485
34,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed8.csv,25,3171.8143863976,25,1.0,1,3,1,1,30,3,3,3,3,3,1.0,2,2,2,0.0026702269692923898,0.7923898531375166,0.0,0.7136118897925252,0.04019806872731905,0.3511326520541764,0.008546393729128122,0.035680154580800066
35,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed6.csv,25,3631.291721314192,25,1.0,0,8,0,0,27,8,5,8,8,8,1.0,0,0,0,0.0,0.7765694513099357,0.0,0.7129442486711728,0.03832857720541357,0.36952408497291866,0.00888583224775263,0.029214408498392592
36,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed7.csv,55,6955.799801826477,54,0.9818181818181818,0,0,0,0,24,0,0,0,0,0,0.0,1,0,0,0.0,0.7930752453653217,0.0,0.7277917680361413,0.042566303912371345,0.38235849258027327,0.00938098094406725,0.029937801695280764
37,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed2.csv,25,2965.6999234855175,25,1.0,0,1,0,0,25,1,1,1,1,1,1.0,0,0,0,0.0,0.7555809959931311,0.0,0.7246340457966786,0.03710910764643121,0.3640717344222874,0.007085257227388878,0.027828553771686474
38,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,55,6348.699861139059,55,1.0,0,0,0,0,33,0,0,0,0,0,0.0,0,0,0,0.0021296014602981443,0.7672649832674171,0.0,0.721464565412246,0.03450204746923434,0.3679428002174525,0.007023625195841227,0.02849509154090329
39,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed7.csv,25,3177.299931615591,25,1.0,0,1,0,0,45,1,1,1,1,1,1.0,0,0,0,0.001447178002894356,0.7472262421611191,0.0,0.7200681841132617,0.03032842434582893,0.4363212777358113,0.008268013827261592,0.027878467082939666
40,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed6.csv,55,3765.8648007512093,54,0.9818181818181818,0,0,0,0,178,0,0,0,0,0,0.0,0,0,0,0.024462694391053644,0.7209505504106238,1.1500015258789062,0.7182843490288808,0.03259620195974257,0.4363394906027959,0.006099945285779121,0.026873299703322865
41,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed7.csv,25,1896.0999049022794,25,1.0,0,0,0,0,85,0,0,0,0,0,0.0,2,1,2,0.005229283990345938,0.6854384553499597,0.0,0.7277949890003929,0.033501773590730026,0.4571712447825489,0.0050941293681337155,0.02722225461304011
42,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed8.csv,25,1478.0999665260315,25,1.0,0,0,0,0,81,0,0,0,0,0,0.0,0,0,0,0.008492569002123142,0.7034677990092003,0.0,0.716078618916955,0.02589187605327825,0.4596943444583887,0.006703073451979495,0.024701943065551468
43,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed7.csv,25,2107.099945306778,25,1.0,0,0,0,0,75,0,0,0,0,0,0.0,1,1,0,0.008573388203017833,0.6728395061728395,0.0,0.7377267640872593,0.02365349470864515,0.4635925671887876,0.00652084923027081,0.025785189299771128
44,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed9.csv,55,3971.5619646012783,54,0.9818181818181818,0,10,0,0,201,10,8,10,10,10,1.0,3,3,2,0.013211249182472204,0.6822759973839111,0.18469810485839844,0.7281730689299413,0.03593891518809333,0.507841471549219,0.007336342820046108,0.025436329685348587
45,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed6.csv,55,608.6152874827385,52,0.9454545454545454,1,7,1,1,236,7,7,7,7,7,1.0,0,0,0,0.05962281832025302,0.6256296122759751,7.473329544067383,0.7505588000401472,0.03904734161757612,0.5689583676270186,0.007757246468069449,0.022608489931698363
46,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed5.csv,25,1506.929930575192,25,1.0,0,6,0,0,94,6,4,6,6,6,1.0,1,1,1,0.005036630036630037,0.6465201465201466,0.0,0.7609270366967893,0.03010778044428626,0.5896256876488527,0.009244613815749914,0.02647505105690714
47,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed7.csv,25,200.69993624091148,25,1.0,0,0,0,0,80,0,0,0,0,0,0.0,0,0,0,0.007293946024799417,0.6389496717724289,0.0,0.7690025926740082,0.025634241730905935,0.638029373595836,0.008154948566411972,0.027098156075226143
48,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed6.csv,25,201.6999389231205,25,1.0,0,0,0,0,111,0,0,0,0,0,0.0,0,0,0,0.0,0.6320834508034959,0.0,0.7683844944280028,0.02888736487644903,0.5891347766533636,0.011064412954760381,0.021269137756910018
49,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed7.csv,25,507.09997791051865,24,0.96,0,3,0,0,86,3,3,3,3,3,1.0,1,0,0,0.0,0.6124189696349369,0.0,0.7631073065102101,0.028116445578113294,0.6485066139139235,0.009045309691161189,0.02352894106322007
50,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed7.csv,25,-2334.8001317977905,25,1.0,0,0,0,0,261,0,0,0,0,0,0.0,5,5,4,0.0031067251461988302,0.5827850877192983,0.0,0.778838682413837,0.03308212609423814,0.6783977175177431,0.00949349669247253,0.025291610457551777
51,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed7.csv,25,-1736.4524087905884,25,1.0,0,15,0,0,189,15,10,15,15,15,1.0,3,3,2,0.005075022065313328,0.5778905560458959,0.0,0.7810673940919355,0.027451257626029665,0.7340013853863566,0.010756301128650536,0.023236260310344273
52,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed0.csv,55,1755.3826225996017,55,1.0,0,8,0,0,61,8,7,8,8,8,1.0,0,0,0,0.010807234230260256,0.5613145125716806,0.0,0.7950116586990845,0.02328281915225279,0.8152131038025404,0.011842659685924399,0.021530164171753522
53,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed2.csv,25,-1434.9001142978668,25,1.0,0,0,0,0,106,0,0,0,0,0,0.0,0,0,0,0.008043665613329504,0.5443837977592646,0.0,0.782273556116416,0.027914364756877422,0.8102542547785284,0.011863020629744434,0.024170979232431705
54,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed5.csv,55,-734.0825533270836,53,0.9636363636363636,0,22,0,0,318,22,22,22,22,22,1.0,1,0,0,0.028016224884444864,0.5306103197811527,6.349998474121094,0.7854586835090931,0.018545865220300748,0.8807129989258754,0.010486405955472178,0.01744633943670077
55,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed0.csv,25,642.2847982645035,25,1.0,0,8,0,0,66,8,7,8,8,8,1.0,0,0,0,0.028183190739808756,0.49924509310518367,0.0,0.8094384074211121,0.02435263160971147,0.9427143012990757,0.007768372623059514,0.018271761997262347
56,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed9.csv,25,-3575.2000247240067,24,0.96,0,0,0,0,135,0,0,0,0,0,0.0,1,0,0,0.01010611419909045,0.5101061141990905,0.0,0.7973377343187941,0.017295001890933564,0.9291448629599937,0.009117795110003189,0.019076371155220994
57,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed2.csv,55,-8043.17827372998,55,1.0,0,10,0,0,259,10,10,10,10,10,1.0,3,3,2,0.01676727028839705,0.49861071189038997,0.0,0.8048523957647423,0.019066908943911453,1.0057928027285374,0.008781287523068757,0.016061479131548848
58,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,55,-7797.34865707159,55,1.0,0,5,0,0,218,5,4,5,5,5,1.0,1,1,1,0.029644268774703556,0.47419850680720244,0.0,0.8107152274276457,0.015277151585859171,1.0515375954982562,0.009093445272727561,0.013246502470403947
59,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,55,-10235.900136075914,55,1.0,0,3,0,0,282,3,3,3,3,3,1.0,1,1,1,0.024782520736394902,0.4630791017600647,0.0,0.8097065993395868,0.01446326901531052,1.093363518055362,0.008328536019689636,0.013776555055557572
60,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed1.csv,55,-5645.173213541508,54,0.9818181818181818,0,11,0,0,175,11,5,11,11,11,1.0,2,1,0,0.038869257950530034,0.45031802120141345,0.0,0.8203409591308829,0.012347213024188649,1.1313932335176389,0.00997467587483504,0.012416677288362151
61,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed0.csv,25,-3920.0354067385197,24,0.96,0,9,0,0,406,9,9,9,9,9,1.0,4,0,4,0.03994190268700073,0.4352457032195594,5.0,0.8207973051529664,0.010015108014778935,1.1769261411749399,0.009001131645528368,0.010267066933468016
62,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed8.csv,55,-4502.2130408883095,55,1.0,0,30,0,0,305,30,25,30,30,30,1.0,1,1,1,0.0635182511858115,0.42369560734171996,0.0,0.8331247454931756,0.01077876600104618,1.2705959108196387,0.009559766545442303,0.008873218911719027
63,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed9.csv,25,-16456.69999396801,24,0.96,0,0,0,0,448,0,0,0,0,0,0.0,3,3,2,0.057771381578947366,0.42218338815789475,4.0,0.8469956107628651,0.00960473584009378,1.3281376598355097,0.009082213433688278,0.00783950762813616
64,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed5.csv,55,-25290.9609721601,52,0.9454545454545454,0,3,0,0,456,3,3,3,3,3,1.0,5,5,4,0.0606467194418355,0.4154031933449618,15.833333333333334,0.8470003484915465,0.010506459521454813,1.442762425618294,0.010548357518804645,0.006933994204332404
65,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed9.csv,55,-1474.2500189840794,55,1.0,0,43,0,0,166,43,34,43,43,43,1.0,1,1,1,0.09029842528355908,0.3860808281026319,0.0,0.8487364339297196,0.006495997846712241,1.4609375816865884,0.012513719497276986,0.010362297537481876
66,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed2.csv,25,-6100.390044391155,25,1.0,0,6,0,0,201,6,6,6,6,6,1.0,0,0,0,0.09520594193112762,0.3751969390051767,0.0,0.8520731318064712,0.010161869527440682,1.520314715125344,0.01415471008322749,0.010128017165863474
67,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed5.csv,55,-21341.14192017913,54,0.9818181818181818,0,7,0,0,468,7,7,7,7,7,1.0,2,2,1,0.08698136113689924,0.38827394129829323,33.5,0.8444079318871864,0.00446592828563716,1.5220055169784106,0.011937594044451171,0.007856754215395202
68,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed0.csv,25,-7393.6999511271715,25,1.0,0,1,0,0,382,1,1,1,1,1,1.0,3,3,3,0.09654115586690018,0.3671190893169877,0.0,0.8479500247215584,0.002744977102201957,1.577232198127638,0.011045440334248563,0.008303471879596734
69,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed9.csv,25,-8651.300063073635,25,1.0,0,0,0,0,269,0,0,0,0,0,0.0,0,0,0,0.10128126906650396,0.3701443969900346,0.0,0.8453866725118415,0.0012696458246294958,1.6034858228222837,0.009772489895719879,0.007787460647886318
70,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed8.csv,55,-24418.617285728455,54,0.9818181818181818,0,16,0,0,461,16,15,16,16,16,1.0,5,5,2,0.112387551665451,0.3648188670070508,5.0,0.8639300057521233,0.0012164843597299926,1.6699097069410178,0.010436451410711738,0.008619683951553433
71,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed7.csv,25,-11718.910942673683,25,1.0,0,9,0,0,332,9,8,9,9,9,1.0,1,1,1,0.10743452548577866,0.3711630526612222,0.0,0.8665527200385732,0.0013937819258399288,1.6983894554803787,0.009980032836970926,0.008627599007859846
72,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed2.csv,55,-8785.966465353966,55,1.0,0,28,0,0,357,28,24,28,28,28,1.0,3,3,2,0.11174164259182831,0.3509079653322328,0.0,0.8700906746599772,0.0022832925474550354,1.7053742741477,0.009594667788405007,0.007552280671003769
73,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed5.csv,55,-20447.819510631263,54,0.9818181818181818,0,26,0,0,452,26,26,26,26,26,1.0,1,1,1,0.11697992991398534,0.3524052245938197,9.5,0.8851026818538323,0.0012181471441414405,1.7268587638170292,0.009841332183533816,0.007495940443298493
74,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,25,-9918.100108593702,25,1.0,0,0,0,0,361,0,0,0,0,0,0.0,2,2,2,0.13023094287202638,0.34988713318284426,0.0,0.8947029271176163,0.0008328946162813556,1.7548647969961166,0.009924228467359882,0.00802829676453718
75,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed5.csv,55,-21944.549061119556,55,1.0,0,21,0,0,461,21,19,21,21,21,1.0,0,0,0,0.1331096995218043,0.34458639640282634,0.0,0.8968036982375132,0.0008723390261071523,1.7392604418203865,0.010206424282089333,0.007208658380459639
76,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed7.csv,25,-15980.19995483756,23,0.92,0,0,0,0,493,0,0,0,0,0,0.0,3,2,1,0.11634036144578314,0.35542168674698793,12.0,0.9097019557769482,0.0007070569400213618,1.7429002213172424,0.009595066387004327,0.00528890064394592
77,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed5.csv,55,-5210.735634356737,53,0.9636363636363636,1,175,0,1,315,174,76,175,175,174,1.0,1,1,1,0.15254686947293952,0.35028298549699327,11.25,0.9237148455320261,0.0016746082146768552,1.7517283144669655,0.00993444505051731,0.006244052987255763
78,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed1.csv,55,-10213.169962972403,54,0.9818181818181818,0,11,0,0,501,11,11,11,11,11,1.0,3,2,3,0.11860036832412522,0.3501534683855126,14.5,0.9460492621629666,0.0014329714851934719,1.7465311093208118,0.009323460718987975,0.008276258741131106
79,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed3.csv,25,-11538.800060331821,24,0.96,0,0,0,0,509,0,0,0,0,0,0.0,5,4,4,0.10873229939312205,0.35738368172623064,3.5,0.9618398700004969,0.0008271342921197617,1.7802330079751136,0.011061908969329638,0.008805192755002841
80,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,25,-11833.458889842033,24,0.96,0,6,0,0,471,6,6,6,6,6,1.0,2,2,1,0.11824132043255549,0.3527319294251565,30.5,0.9653392768823184,0.001108104925324719,1.7472404551811707,0.012330332297268307,0.009045955981190883
81,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed7.csv,55,-20390.890385210514,54,0.9818181818181818,0,4,0,0,465,4,4,4,4,4,1.0,2,2,1,0.1007059176930009,0.3687293481525984,11.0,0.9817030394688631,0.0008969907971323921,1.7415312627951305,0.013997323876508698,0.00911399482950704
82,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed5.csv,25,-14672.40002527833,24,0.96,0,1,0,0,475,1,1,1,1,1,1.0,2,2,2,0.10774898039731615,0.365083541639258,28.5,0.9913498484935516,0.0012684838745302001,1.7708426661980459,0.01466678033894919,0.009529502281939365
83,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed6.csv,25,-17867.49982598424,25,1.0,0,1,0,0,460,1,1,1,1,1,1.0,1,1,1,0.08070175438596491,0.39105829088851163,0.0,0.9909369312953152,0.0008932542747076435,1.7367239871729052,0.01780561119489225,0.01117805835783251
84,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,25,-9093.600001603365,25,1.0,0,0,0,0,289,0,0,0,0,0,0.0,1,1,1,0.07924594170012218,0.3813929132483854,0.0,0.9976869677755156,0.0012002725768286249,1.750918110752848,0.019335644107096726,0.009840315593153343
85,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,25,-9402.700004339218,25,1.0,0,0,0,0,358,0,0,0,0,0,0.0,3,3,3,0.06575477916941332,0.4050758075148319,0.0,0.9987772952905458,0.0010982748662903396,1.733637769756848,0.0182253268253567,0.010875425207577583
86,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed3.csv,55,-22180.050529956818,54,0.9818181818181818,0,9,0,0,446,9,8,9,9,9,1.0,3,3,3,0.08407980456026058,0.3990228013029316,8.349998474121094,1.0075548658768336,0.001106274506190484,1.7600045448694475,0.01889825245578975,0.010184910538326875
