t,coherence,reward,collapse_event,node_0_x,node_0_y,node_1_x,node_1_y,node_2_x,node_2_y,node_3_x,node_3_y,node_4_x,node_4_y,node_5_x,node_5_y,node_6_x,node_6_y,node_7_x,node_7_y,node_8_x,node_8_y,node_9_x,node_9_y,node_10_x,node_10_y,node_11_x,node_11_y
1,0.9983804024286963,-1.5016195975713038,0,0.3681170161176845,0.9430498591810547,0.7703780912629282,0.6004929214269262,0.15808941847525512,0.06786172046106442,0.3339858282041328,0.15286297471837065,0.026558898754990977,0.9618907193311934,0.007675240283753238,0.9849701063803267,0.30219184822825795,0.53423815498758,0.031475373666064725,0.5301804252772386,0.052778954707284935,0.9658417544329474,0.45353624888452665,0.7827628136503884,0.38322049003838543,0.9732596933197256,0.8500699101672393,0.681911688667964
2,0.9967886879467708,-1.5032113120532293,0,0.36415838124529265,0.9338667654786533,0.760413182599721,0.6013299371579247,0.1603391752612385,0.07760536425606851,0.3348478009194762,0.16282575560715887,0.03319617906316764,0.9544109793550518,0.014582137862519334,0.9777385943782323,0.29923431681739693,0.5437907990170501,0.04112336967707539,0.5328102870552647,0.058636756095812745,0.9577370543834353,0.4485033320404036,0.7799952564475904,0.38275766118539284,0.9632704095890051,0.8401612044307217,0.6805635230152701
3,0.9956323474133802,-1.5043676525866196,0,0.36502772300674685,0.9239046249003543,0.7504145979865847,0.6011616940779644,0.16229648576532166,0.08741194039611891,0.3352614293989619,0.17281719751916327,0.04105978509584276,0.9482333017847285,0.021134568785552,0.9701844134829343,0.30245525770102194,0.5512388007324788,0.05023848733179869,0.536923027034956,0.06525288663462563,0.9502386000964913,0.44056914616855675,0.7739084925659382,0.3773331065426991,0.954869563981066,0.8301612467477516,0.6805926149180306
4,0.9943094994670995,-1.5056905005329004,0,0.36598185971674096,0.9139502478159436,0.7407926518186332,0.6038853225293218,0.16414154703916667,0.09724025403049981,0.33378383537071304,0.18270743087776928,0.04970521426597958,0.9432077118229283,0.029393788038600745,0.964546568386617,0.3059575685898181,0.5545070790825911,0.0593854987522371,0.540964336485415,0.0737424118796258,0.9449539088931659,0.43365477096698013,0.7666841299247205,0.37351193330522087,0.9456284257887664,0.8202804074871431,0.6821317755678717
5,0.9933635562504827,-1.5066364437495174,0,0.3605236009142016,0.9055712615500221,0.7308016710767646,0.604309944497209,0.16544908251705912,0.10715440305974344,0.3352310840940918,0.19260215023370245,0.05735789243603733,0.9367705915952549,0.037394867616736396,0.9585480080939851,0.3109105443065435,0.5582179113834053,0.0687136502356294,0.5445678888858784,0.07852756036960255,0.9361731142862483,0.42869405695522533,0.7622950769574631,0.3691575572315405,0.9366262366656164,0.8103652228476779,0.680832116549009
6,0.9925094763350865,-1.5074905236649134,0,0.3559460353623044,0.8966804857898264,0.7208231628550874,0.6049652106033975,0.16825307122820862,0.11675323878642124,0.33383102782719865,0.20250365731341174,0.06436168647448365,0.9296328840454162,0.044796583997094214,0.9518238282462459,0.3069522774738784,0.5674011637310991,0.07819627702367785,0.5477427572608801,0.08361394964312496,0.9275633149762645,0.4246730260200582,0.7531948209978583,0.3691574767779839,0.92662623666594,0.8004718719471914,0.6793755425001382
7,0.9919818302792959,-1.508018169720704,0,0.3557342285176753,0.8866827291484308,0.7108233781670897,0.6048995890087249,0.17053011264198553,0.1264905424378406,0.3338314660131005,0.2125036573038114,0.07104696308438278,0.9221960112719223,0.052600231862683894,0.9455705826897467,0.3075306545780374,0.5702173915407024,0.08413950547825,0.5557850228332647,0.09169113784639797,0.9216676359883186,0.4174591578238352,0.7477949387812457,0.36858864492208,0.9180337905193225,0.7905510289344534,0.6806312789042487
8,0.9913518247670364,-1.5086481752329637,0,0.3552457574350727,0.876694666473344,0.7013002384701659,0.6079507871853227,0.17053040058055413,0.13649054243369518,0.3318370512438803,0.22230275469736335,0.07516967799801812,0.9130854008784915,0.060173780823844475,0.9390405477638903,0.3093175949019531,0.5726678532683878,0.09385555230114684,0.558151123874065,0.09854315152504545,0.9143840991724833,0.4137263893809071,0.7476160641572401,0.36754272065379545,0.908088638814848,0.7805681145447673,0.6800469670969089
9,0.9918288620806249,-1.508171137919375,0,0.3519470151958663,0.8672544175550541,0.6914092985997097,0.609423644435371,0.1741860281164515,0.14579840939228397,0.3327260267729171,0.2322631624454816,0.08240761150860713,0.9061852328735591,0.06672412040928485,0.9314845533676899,0.30731698223901044,0.5729297846268497,0.103656500717098,0.560136422377531,0.10749680541591485,0.9099307765923731,0.4128462572718127,0.7425890123094994,0.3604266717118817,0.9010628401089151,0.7707248837731161,0.6818107153714705
10,0.991786543976252,-1.5082134560237481,0,0.3546603150475141,0.8610087452797086,0.6814530687432656,0.6103582497240633,0.17812235737224844,0.15499108647733145,0.3308661605045961,0.2420886852032773,0.09093188731616787,0.9009567797603875,0.07280656512250194,0.9235470558835543,0.30877565623460024,0.5827707879442835,0.11054896667415696,0.5658998518300256,0.11578463854344437,0.9043350798484256,0.40984855265872333,0.7410713565816291,0.3577544893914877,0.8914264797147324,0.7608101123448847,0.6831135229266857
11,0.9914021031150019,-1.5085978968849982,0,0.3563162006890794,0.8556805788795133,0.6715932748880581,0.612026921391232,0.18149510837569208,0.1644051478043449,0.3313542747361086,0.2520767653239509,0.09848482414346393,0.8944029148485301,0.07826094106668594,0.9151655415180291,0.30983785304097194,0.5825815366232622,0.11919537837112001,0.5709237511887528,0.12166588435516582,0.8962473763609016,0.40224557150577683,0.7345756135457678,0.35860478934067613,0.8814626957951359,0.7508109808772374,0.6829817280379147
12,0.9920107306567162,-0.007989269343283811,0,0.3568384330095885,0.8456942245195171,0.6616209346956888,0.6112836643107707,0.18234791658699864,0.17436871735319276,0.331169429256099,0.2620750567854217,0.1074541698419243,0.8899812819214871,0.08476379904848376,0.9075686449102972,0.31304726017573553,0.5846713263518754,0.12837476149874552,0.5716726714898934,0.12658553541068726,0.8895720357367913,0.4012425319747352,0.733317118976572,0.3564233705640755,0.8717035251274463,0.7408873701910732,0.6817480542765634
13,0.9914310558498965,-0.008568944150103452,0,0.35528359264056125,0.8389873738612079,0.6516299666006585,0.6117085837432354,0.18617592026553018,0.18360702822895078,0.33106679411687717,0.27207453007296023,0.1132311275231639,0.8818187602554106,0.09210101611253552,0.9007741437693019,0.3083336466876373,0.5850303877800167,0.13321086447841676,0.5719282272792544,0.13480858736949541,0.8838815685782233,0.3967169583012627,0.7260615059749194,0.3544382594380736,0.8619025387578291,0.7309017661092682,0.6812116671761971
14,0.9918198927749561,-0.00818010722504392,0,0.35228737076768807,0.8315256157964926,0.6416974131947057,0.6105491085007677,0.18818849703592058,0.19340241156720175,0.33074962539833147,0.2820694990075781,0.11961082729293265,0.8741181478870589,0.09766289467231386,0.8924635777906047,0.30396498787385284,0.5899657338515735,0.1424771914328372,0.5756879060918368,0.14124109245866737,0.8762250107172928,0.3922465497062959,0.7235437082171557,0.3566521222156353,0.8521506768021754,0.7211068336759182,0.6832264372936322
15,0.9924101627388878,-0.007589837261112176,0,0.34868290760297543,0.8221978162009701,0.6317492632436252,0.6095320969222614,0.18909618438538578,0.2033611315489876,0.3279596539729962,0.29167241832650465,0.12618146664958527,0.8665797993646829,0.10486356910312515,0.8855245369533232,0.30073124261356465,0.595705351452317,0.15017061072867008,0.5820762783053594,0.14951824724202983,0.8706135306369343,0.3862374238038821,0.7174114508837759,0.35710851947845,0.84588202299442,0.7111721161946974,0.6820856531035564
16,0.9917598049224359,-0.008240195077564128,0,0.3457334064350003,0.8170713970262294,0.6224800535973158,0.6132846630486294,0.19314538104674933,0.21250465419606418,0.3288415162003684,0.3016334583832424,0.1316680953597111,0.8604956804911322,0.11291373379221288,0.8795920123239125,0.2996596398474383,0.603094658192551,0.157318560333824,0.5813001829327823,0.15602641235461237,0.8630211800873769,0.3808831523438379,0.7192608400379831,0.3595236283281489,0.8375416427538197,0.7012007220835831,0.681329809547763
17,0.9913660278437693,-0.00863397215623074,0,0.34217306182734714,0.8077266687650784,0.6131088082901928,0.6167746145373644,0.19649159362196156,0.22192818121101412,0.32630397317374316,0.31130614546533214,0.13623241135829406,0.851598095455569,0.12102449798257493,0.8737426102819649,0.2989749509044322,0.6023194711931223,0.16167169206150617,0.5880591558492407,0.16152462767340223,0.8546683585097168,0.373469205711641,0.718516365096598,0.35306421989922837,0.8320920369549551,0.6916044764969657,0.6785169692321167
18,0.9915696611613026,-0.008430338838697371,0,0.3366446338726704,0.8053619339141365,0.6031287300212386,0.6174055168638368,0.19971529919704387,0.23139431676704664,0.32838273677572255,0.32108769656355196,0.14115380505505803,0.8428929312364717,0.12883740452692138,0.8675009365217217,0.29900027144751906,0.6094222442867139,0.16543193027733108,0.5917376519019876,0.16422047791705094,0.8450385926006295,0.366090626178716,0.7119339288067491,0.3473181193678767,0.8251347409306683,0.681604550487641,0.6785554375051779
19,0.9906968433182094,-0.009303156681790603,0,0.3401071634351356,0.7969569843799112,0.5937099120758709,0.6207649615369962,0.20082511932426833,0.24133254091853404,0.3258800476249575,0.33076946019496967,0.14520074969316418,0.8377741571778734,0.13755996897743536,0.8626104488766468,0.29546125929385036,0.6126041162826359,0.17498143489681167,0.5947053044292419,0.17195311996738977,0.8386977529936586,0.36300454128881127,0.7107272545334968,0.34646839229006715,0.8210040253552893,0.6716890938008164,0.6772578556419776
20,0.9897234463644405,-1.5102765536355593,0,0.3433010901152635,0.7941167932594967,0.5839567903601616,0.6229732678560017,0.20270389216281015,0.25115446601604713,0.3252443532649449,0.340749234374812,0.15100543896482344,0.8296313331923335,0.14690547574139892,0.8590521482534966,0.29836498348047436,0.6154398943916171,0.18002280932595344,0.6012130096645211,0.17786479973385835,0.8306322683622972,0.3646587560804282,0.7115212844957255,0.3493381418196021,0.8153160394310802,0.6617330086140877,0.676321710485178
21,0.9888213789295249,-1.5111786210704752,0,0.346234568524973,0.7911887651989534,0.5740732823798284,0.621451338158976,0.20453212793832418,0.2609859233825382,0.3285327661243611,0.3501930863890076,0.15792643872283557,0.822413316681574,0.15588998883013674,0.8546614165880109,0.30260126943549454,0.6174720039774134,0.18594111196496493,0.6020036026080297,0.18030656279560725,0.8258650514141604,0.3653260764496401,0.7140595697112281,0.3526088511812936,0.80822172722298,0.6520461483433267,0.6788045995472894
22,0.9880708840349959,-1.5119291159650041,0,0.3482777273083767,0.7822166429601051,0.5641504726322741,0.6202112386815782,0.2088704233373898,0.26999587305112377,0.32667121236138363,0.3600182895720234,0.1648893814230951,0.8152357524044043,0.16008947861350448,0.8467579127182057,0.303532696275636,0.6224354226995665,0.1927041046807149,0.6085390724844809,0.1872785123758821,0.8186962356786219,0.36668472195661983,0.710505254891458,0.3484877758141106,0.7991103750830395,0.6420496689213377,0.6790699279584155
23,0.9876176760442731,-1.5123823239557268,0,0.3487949976893681,0.7732887524196181,0.5641497540866447,0.6102112387073936,0.21076792601589664,0.27981419691953735,0.32562292236204254,0.36996319218981116,0.17273854304812217,0.8090397325703331,0.1678851474979831,0.840494722904415,0.3032118483504849,0.6255878185592962,0.2008160112018261,0.6143868902477797,0.1902756806317964,0.8150806001387351,0.36416200785500225,0.705615736022304,0.3465451036512057,0.7970084820741715,0.6321759188478271,0.6774859268580851
24,0.987114143765734,-1.512885856234266,0,0.3486356974365595,0.765017343026467,0.55417742451453,0.6094678391478524,0.21184950459657276,0.2897555342427461,0.323214289448251,0.3796687827172649,0.1768668578282,0.8000359908151029,0.17566823110451518,0.8342159005965509,0.3056732744066635,0.6240231983833956,0.203644541918314,0.6120678039381033,0.1932622077329679,0.8055369815444089,0.3586704533935121,0.6992135465988072,0.34137064826814395,0.7897574176908381,0.6222476656324181,0.6762901893907785
